Date,Close,Vix Close
2020-04-08,43.35,43.35
2020-04-07,46.7,46.7
2020-04-06,45.24,45.24
2020-04-03,46.8,46.8
2020-04-02,50.91,50.91
2020-04-01,57.06,57.06
2020-03-31,53.54,53.54
2020-03-30,57.08,57.08
2020-03-27,65.54,65.54
2020-03-26,61.0,61.0
2020-03-25,63.95,63.95
2020-03-24,61.67,61.67
2020-03-23,61.59,61.59
2020-03-20,66.04,66.04
2020-03-19,72.0,72.0
2020-03-18,76.45,76.45
2020-03-17,75.91,75.91
2020-03-16,82.69,82.69
2020-03-13,57.83,57.83
2020-03-12,75.47,75.47
2020-03-11,53.9,53.9
2020-03-10,47.3,47.3
2020-03-09,54.46,54.46
2020-03-06,41.94,41.94
2020-03-05,39.62,39.62
2020-03-04,31.99,31.99
2020-03-03,36.82,36.82
2020-03-02,33.42,33.42
2020-02-28,40.11,40.11
2020-02-27,39.16,39.16
2020-02-26,27.56,27.56
2020-02-25,27.85,27.85
2020-02-24,25.03,25.03
2020-02-21,17.08,17.08
2020-02-20,15.56,15.56
2020-02-19,14.38,14.38
2020-02-18,14.83,14.83
2020-02-14,13.68,13.68
2020-02-13,14.15,14.15
2020-02-12,13.74,13.74
2020-02-11,15.18,15.18
2020-02-10,15.04,15.04
2020-02-07,15.47,15.47
2020-02-06,14.96,14.96
2020-02-05,15.15,15.15
2020-02-04,16.05,16.05
2020-02-03,17.97,17.97
2020-01-31,18.84,18.84
2020-01-30,15.49,15.49
2020-01-29,16.39,16.39
2020-01-28,16.28,16.28
2020-01-27,18.23,18.23
2020-01-24,14.56,14.56
2020-01-23,12.98,12.98
2020-01-22,12.91,12.91
2020-01-21,12.85,12.85
2020-01-20,12.1,12.1
2020-01-17,12.1,12.1
2020-01-16,12.32,12.32
2020-01-15,12.42,12.42
2020-01-14,12.39,12.39
2020-01-13,12.32,12.32
2020-01-10,12.56,12.56
2020-01-09,12.54,12.54
2020-01-08,13.45,13.45
2020-01-07,13.79,13.79
2020-01-06,13.85,13.85
2020-01-03,14.02,14.02
2020-01-02,12.47,12.47
2017-12-29,11.04,11.04
2017-12-28,10.18,10.18
2017-12-27,10.47,10.47
2017-12-22,9.9,9.9
2017-12-21,9.62,9.62
2017-12-20,9.72,9.72
2017-12-19,10.03,10.03
2017-12-18,9.53,9.53
2017-12-15,9.42,9.42
2017-12-14,10.49,10.49
2017-12-13,10.18,10.18
2017-12-12,9.92,9.92
2017-12-11,9.34,9.34
2017-12-08,9.58,9.58
2017-12-07,10.16,10.16
2017-12-06,11.02,11.02
2017-12-05,11.33,11.33
2017-12-04,11.68,11.68
2017-12-01,11.43,11.43
2017-11-30,11.28,11.28
2017-11-29,10.7,10.7
2017-11-28,10.03,10.03
2017-11-27,9.87,9.87
2017-11-24,9.67,9.67
2017-11-23,9.88,9.88
2017-11-22,9.88,9.88
2017-11-21,9.73,9.73
2017-11-20,10.65,10.65
2017-11-17,11.43,11.43
2017-11-16,11.76,11.76
2017-11-15,13.13,13.13
2017-11-14,11.59,11.59
2017-11-13,11.5,11.5
2017-11-10,11.29,11.29
2017-11-09,10.5,10.5
2017-11-08,9.78,9.78
2017-11-07,9.89,9.89
2017-11-06,9.4,9.4
2017-11-03,9.14,9.14
2017-11-02,9.93,9.93
2017-11-01,10.2,10.2
2017-10-31,10.18,10.18
2017-10-30,10.5,10.5
2017-10-27,9.8,9.8
2017-10-26,11.3,11.3
2017-10-25,11.23,11.23
2017-10-24,11.16,11.16
2017-10-23,11.07,11.07
2017-10-20,9.97,9.97
2017-10-19,10.05,10.05
2017-10-18,10.07,10.07
2017-10-17,10.31,10.31
2017-10-16,9.91,9.91
2017-10-13,9.61,9.61
2017-10-12,9.91,9.91
2017-10-11,9.85,9.85
2017-10-10,10.08,10.08
2017-10-09,10.33,10.33
2017-10-06,9.65,9.65
2017-10-05,9.19,9.19
2017-10-04,9.63,9.63
2017-10-03,9.51,9.51
2017-10-02,9.45,9.45
2017-09-29,9.51,9.51
2017-09-28,9.55,9.55
2017-09-27,9.87,9.87
2017-09-26,10.17,10.17
2017-09-25,10.21,10.21
2017-09-22,9.59,9.59
2017-09-21,9.67,9.67
2017-09-20,9.78,9.78
2017-09-19,10.18,10.18
2017-09-18,10.15,10.15
2017-09-15,10.17,10.17
2017-09-14,10.44,10.44
2017-09-13,10.5,10.5
2017-09-12,10.58,10.58
2017-09-11,10.73,10.73
2017-09-08,12.12,12.12
2017-09-07,11.55,11.55
2017-09-06,11.63,11.63
2017-09-05,12.23,12.23
2017-09-04,10.13,10.13
2017-09-01,10.13,10.13
2017-08-31,10.59,10.59
2017-08-30,11.22,11.22
2017-08-29,11.7,11.7
2017-08-25,11.28,11.28
2017-08-24,12.23,12.23
2017-08-23,12.25,12.25
2017-08-22,11.35,11.35
2017-08-21,13.19,13.19
2017-08-18,14.26,14.26
2017-08-17,15.55,15.55
2017-08-16,11.74,11.74
2017-08-15,12.04,12.04
2017-08-14,12.33,12.33
2017-08-11,15.51,15.51
2017-08-10,16.04,16.04
2017-08-09,11.11,11.11
2017-08-08,10.96,10.96
2017-08-07,9.93,9.93
2017-08-04,10.03,10.03
2017-08-03,10.44,10.44
2017-08-02,10.28,10.28
2017-08-01,10.09,10.09
2017-07-31,10.26,10.26
2017-07-28,10.29,10.29
2017-07-27,10.11,10.11
2017-07-26,9.6,9.6
2017-07-25,9.43,9.43
2017-07-24,9.43,9.43
2017-07-21,9.36,9.36
2017-07-20,9.58,9.58
2017-07-19,9.79,9.79
2017-07-18,9.89,9.89
2017-07-17,9.82,9.82
2017-07-14,9.51,9.51
2017-07-13,9.9,9.9
2017-07-12,10.3,10.3
2017-07-11,10.89,10.89
2017-07-10,11.11,11.11
2017-07-07,11.19,11.19
2017-07-06,12.54,12.54
2017-07-05,11.07,11.07
2017-07-04,11.22,11.22
2017-07-03,11.22,11.22
2017-06-30,11.18,11.18
2017-06-29,11.44,11.44
2017-06-28,10.03,10.03
2017-06-27,11.06,11.06
2017-06-26,9.9,9.9
2017-06-23,10.02,10.02
2017-06-22,10.48,10.48
2017-06-21,10.75,10.75
2017-06-20,10.86,10.86
2017-06-19,10.37,10.37
2017-06-16,10.38,10.38
2017-06-15,10.9,10.9
2017-06-14,10.64,10.64
2017-06-13,10.42,10.42
2017-06-12,11.46,11.46
2017-06-09,10.7,10.7
2017-06-08,10.16,10.16
2017-06-07,10.39,10.39
2017-06-06,10.45,10.45
2017-06-05,10.07,10.07
2017-06-02,9.75,9.75
2017-06-01,9.89,9.89
2017-05-31,10.41,10.41
2017-05-30,10.38,10.38
2017-05-26,9.81,9.81
2017-05-25,9.99,9.99
2017-05-24,10.02,10.02
2017-05-23,10.72,10.72
2017-05-22,10.93,10.93
2017-05-19,12.04,12.04
2017-05-18,14.66,14.66
2017-05-17,15.59,15.59
2017-05-16,10.65,10.65
2017-05-15,10.42,10.42
2017-05-12,10.4,10.4
2017-05-11,10.6,10.6
2017-05-10,10.21,10.21
2017-05-09,9.96,9.96
2017-05-08,9.77,9.77
2017-05-05,10.57,10.57
2017-05-04,10.46,10.46
2017-05-03,10.68,10.68
2017-05-02,10.59,10.59
2017-04-28,10.82,10.82
2017-04-27,10.36,10.36
2017-04-26,10.85,10.85
2017-04-25,10.76,10.76
2017-04-24,10.84,10.84
2017-04-21,14.63,14.63
2017-04-20,14.15,14.15
2017-04-19,14.93,14.93
2017-04-18,14.42,14.42
2017-04-13,15.96,15.96
2017-04-12,15.77,15.77
2017-04-11,15.07,15.07
2017-04-10,14.05,14.05
2017-04-07,12.87,12.87
2017-04-06,12.39,12.39
2017-04-05,12.89,12.89
2017-04-04,11.79,11.79
2017-04-03,12.38,12.38
2017-03-31,12.37,12.37
2017-03-30,11.54,11.54
2017-03-29,11.42,11.42
2017-03-28,11.53,11.53
2017-03-27,12.5,12.5
2017-03-24,12.96,12.96
2017-03-23,13.12,13.12
2017-03-22,12.81,12.81
2017-03-21,12.47,12.47
2017-03-20,11.34,11.34
2017-03-17,11.28,11.28
2017-03-16,11.21,11.21
2017-03-15,11.63,11.63
2017-03-14,12.3,12.3
2017-03-13,11.35,11.35
2017-03-10,11.66,11.66
2017-03-09,12.3,12.3
2017-03-08,11.86,11.86
2017-03-07,11.45,11.45
2017-03-06,11.24,11.24
2017-03-03,10.96,10.96
2017-03-02,11.81,11.81
2017-03-01,12.54,12.54
2017-02-28,12.92,12.92
2017-02-27,12.09,12.09
2017-02-24,11.47,11.47
2017-02-23,11.71,11.71
2017-02-22,11.74,11.74
2017-02-21,11.57,11.57
2017-02-20,11.49,11.49
2017-02-17,11.49,11.49
2017-02-16,11.76,11.76
2017-02-15,11.97,11.97
2017-02-14,10.74,10.74
2017-02-13,11.07,11.07
2017-02-10,10.85,10.85
2017-02-09,10.88,10.88
2017-02-08,11.45,11.45
2017-02-07,11.29,11.29
2017-02-06,11.37,11.37
2017-02-03,10.97,10.97
2017-02-02,11.93,11.93
2017-02-01,11.81,11.81
2017-01-31,11.99,11.99
2017-01-30,11.88,11.88
2017-01-27,10.58,10.58
2017-01-26,10.63,10.63
2017-01-25,10.81,10.81
2017-01-24,11.07,11.07
2017-01-23,11.77,11.77
2017-01-20,11.54,11.54
2017-01-19,12.78,12.78
2017-01-18,12.48,12.48
2017-01-17,11.87,11.87
2017-01-16,11.23,11.23
2017-01-13,11.23,11.23
2017-01-12,11.54,11.54
2017-01-11,11.26,11.26
2017-01-10,11.49,11.49
2017-01-09,11.56,11.56
2017-01-06,11.32,11.32
2017-01-05,11.67,11.67
2017-01-04,11.85,11.85
2017-01-03,12.85,12.85
2018-12-31,25.42,25.42
2018-12-28,28.34,28.34
2018-12-27,29.96,29.96
2018-12-24,36.07,36.07
2018-12-21,30.11,30.11
2018-12-20,28.38,28.38
2018-12-19,25.58,25.58
2018-12-18,25.58,25.58
2018-12-17,24.52,24.52
2018-12-14,21.63,21.63
2018-12-13,20.65,20.65
2018-12-12,21.46,21.46
2018-12-11,21.76,21.76
2018-12-10,22.64,22.64
2018-12-07,23.23,23.23
2018-12-06,21.19,21.19
2018-12-05,20.74,20.74
2018-12-04,20.74,20.74
2018-12-03,16.44,16.44
2018-11-30,18.07,18.07
2018-11-29,18.79,18.79
2018-11-28,18.49,18.49
2018-11-27,19.02,19.02
2018-11-26,18.9,18.9
2018-11-23,21.52,21.52
2018-11-22,20.8,20.8
2018-11-21,20.8,20.8
2018-11-20,22.48,22.48
2018-11-19,20.1,20.1
2018-11-16,18.14,18.14
2018-11-15,19.98,19.98
2018-11-14,21.25,21.25
2018-11-13,20.02,20.02
2018-11-12,20.45,20.45
2018-11-09,17.36,17.36
2018-11-08,16.72,16.72
2018-11-07,16.36,16.36
2018-11-06,19.91,19.91
2018-11-05,19.96,19.96
2018-11-02,19.51,19.51
2018-11-01,19.34,19.34
2018-10-31,21.23,21.23
2018-10-30,23.35,23.35
2018-10-29,24.7,24.7
2018-10-26,24.16,24.16
2018-10-25,24.22,24.22
2018-10-24,25.23,25.23
2018-10-23,20.71,20.71
2018-10-22,19.64,19.64
2018-10-19,19.89,19.89
2018-10-18,20.06,20.06
2018-10-17,17.4,17.4
2018-10-16,17.62,17.62
2018-10-15,21.3,21.3
2018-10-12,21.31,21.31
2018-10-11,24.98,24.98
2018-10-10,22.96,22.96
2018-10-09,15.95,15.95
2018-10-08,15.69,15.69
2018-10-05,14.82,14.82
2018-10-04,14.22,14.22
2018-10-03,11.61,11.61
2018-10-02,12.05,12.05
2018-10-01,12.0,12.0
2018-09-28,12.12,12.12
2018-09-27,12.41,12.41
2018-09-26,12.89,12.89
2018-09-25,12.42,12.42
2018-09-24,12.2,12.2
2018-09-21,11.68,11.68
2018-09-20,11.8,11.8
2018-09-19,11.75,11.75
2018-09-18,12.79,12.79
2018-09-17,13.68,13.68
2018-09-14,12.07,12.07
2018-09-13,12.37,12.37
2018-09-12,13.14,13.14
2018-09-11,13.22,13.22
2018-09-10,14.16,14.16
2018-09-07,14.88,14.88
2018-09-06,14.65,14.65
2018-09-05,13.91,13.91
2018-09-04,13.16,13.16
2018-09-03,12.86,12.86
2018-08-31,12.86,12.86
2018-08-30,13.53,13.53
2018-08-29,12.25,12.25
2018-08-28,12.5,12.5
2018-08-24,11.99,11.99
2018-08-23,12.41,12.41
2018-08-22,12.25,12.25
2018-08-21,12.86,12.86
2018-08-20,12.49,12.49
2018-08-17,12.64,12.64
2018-08-16,13.45,13.45
2018-08-15,14.64,14.64
2018-08-14,13.31,13.31
2018-08-13,14.78,14.78
2018-08-10,13.16,13.16
2018-08-09,11.27,11.27
2018-08-08,10.85,10.85
2018-08-07,10.93,10.93
2018-08-06,11.27,11.27
2018-08-03,11.64,11.64
2018-08-02,12.19,12.19
2018-08-01,13.15,13.15
2018-07-31,12.83,12.83
2018-07-30,14.26,14.26
2018-07-27,13.03,13.03
2018-07-26,12.14,12.14
2018-07-25,12.29,12.29
2018-07-24,12.41,12.41
2018-07-23,12.62,12.62
2018-07-20,12.86,12.86
2018-07-19,12.87,12.87
2018-07-18,12.1,12.1
2018-07-17,12.06,12.06
2018-07-16,12.83,12.83
2018-07-13,12.18,12.18
2018-07-12,12.58,12.58
2018-07-11,13.63,13.63
2018-07-10,12.64,12.64
2018-07-09,12.69,12.69
2018-07-06,13.37,13.37
2018-07-05,14.97,14.97
2018-07-04,16.14,16.14
2018-07-03,16.14,16.14
2018-07-02,15.6,15.6
2018-06-29,16.09,16.09
2018-06-28,16.85,16.85
2018-06-27,17.91,17.91
2018-06-26,15.92,15.92
2018-06-25,17.33,17.33
2018-06-22,13.77,13.77
2018-06-21,14.64,14.64
2018-06-20,12.79,12.79
2018-06-19,13.35,13.35
2018-06-18,12.31,12.31
2018-06-15,11.98,11.98
2018-06-14,12.12,12.12
2018-06-13,12.94,12.94
2018-06-12,12.34,12.34
2018-06-11,12.35,12.35
2018-06-08,12.18,12.18
2018-06-07,12.13,12.13
2018-06-06,11.64,11.64
2018-06-05,12.4,12.4
2018-06-04,12.74,12.74
2018-06-01,13.46,13.46
2018-05-31,15.43,15.43
2018-05-30,14.94,14.94
2018-05-29,17.02,17.02
2018-05-25,13.22,13.22
2018-05-24,12.53,12.53
2018-05-23,12.58,12.58
2018-05-22,13.22,13.22
2018-05-21,13.08,13.08
2018-05-18,13.42,13.42
2018-05-17,13.43,13.43
2018-05-16,13.42,13.42
2018-05-15,14.63,14.63
2018-05-14,12.93,12.93
2018-05-11,12.65,12.65
2018-05-10,13.23,13.23
2018-05-09,13.42,13.42
2018-05-08,14.71,14.71
2018-05-04,14.77,14.77
2018-05-03,15.9,15.9
2018-05-02,15.97,15.97
2018-05-01,15.49,15.49
2018-04-30,15.93,15.93
2018-04-27,15.41,15.41
2018-04-26,16.24,16.24
2018-04-25,17.84,17.84
2018-04-24,18.02,18.02
2018-04-23,16.34,16.34
2018-04-20,16.88,16.88
2018-04-19,15.96,15.96
2018-04-18,15.6,15.6
2018-04-17,15.25,15.25
2018-04-16,16.56,16.56
2018-04-13,17.41,17.41
2018-04-12,18.49,18.49
2018-04-11,20.24,20.24
2018-04-10,20.47,20.47
2018-04-09,21.77,21.77
2018-04-06,21.49,21.49
2018-04-05,18.94,18.94
2018-04-04,20.06,20.06
2018-04-03,21.1,21.1
2018-03-29,19.97,19.97
2018-03-28,22.87,22.87
2018-03-27,22.5,22.5
2018-03-26,21.03,21.03
2018-03-23,24.87,24.87
2018-03-22,23.34,23.34
2018-03-21,17.86,17.86
2018-03-20,18.2,18.2
2018-03-19,19.02,19.02
2018-03-16,15.8,15.8
2018-03-15,16.59,16.59
2018-03-14,17.23,17.23
2018-03-13,16.35,16.35
2018-03-12,15.78,15.78
2018-03-09,14.64,14.64
2018-03-08,16.54,16.54
2018-03-07,17.76,17.76
2018-03-06,18.36,18.36
2018-03-05,18.73,18.73
2018-03-02,19.59,19.59
2018-03-01,22.47,22.47
2018-02-28,19.85,19.85
2018-02-27,18.59,18.59
2018-02-26,15.8,15.8
2018-02-23,16.49,16.49
2018-02-22,18.72,18.72
2018-02-21,20.02,20.02
2018-02-20,20.6,20.6
2018-02-19,19.46,19.46
2018-02-16,19.46,19.46
2018-02-15,19.13,19.13
2018-02-14,19.26,19.26
2018-02-13,24.97,24.97
2018-02-12,25.61,25.61
2018-02-09,29.06,29.06
2018-02-08,33.46,33.46
2018-02-07,27.73,27.73
2018-02-06,29.98,29.98
2018-02-05,37.32,37.32
2018-02-02,17.31,17.31
2018-02-01,13.47,13.47
2018-01-31,13.54,13.54
2018-01-30,14.79,14.79
2018-01-29,13.84,13.84
2018-01-26,11.08,11.08
2018-01-25,11.58,11.58
2018-01-24,11.47,11.47
2018-01-23,11.1,11.1
2018-01-22,11.03,11.03
2018-01-19,11.27,11.27
2018-01-18,12.22,12.22
2018-01-17,11.91,11.91
2018-01-16,11.66,11.66
2018-01-15,10.16,10.16
2018-01-12,10.16,10.16
2018-01-11,9.88,9.88
2018-01-10,9.82,9.82
2018-01-09,10.08,10.08
2018-01-08,9.52,9.52
2018-01-05,9.22,9.22
2018-01-04,9.22,9.22
2018-01-03,9.15,9.15
2018-01-02,9.77,9.77
2019-12-31,13.78,13.78
2019-12-30,14.82,14.82
2019-12-27,13.43,13.43
2019-12-24,12.67,12.67
2019-12-23,12.61,12.61
2019-12-20,12.51,12.51
2019-12-19,12.5,12.5
2019-12-18,12.58,12.58
2019-12-17,12.29,12.29
2019-12-16,12.14,12.14
2019-12-13,12.63,12.63
2019-12-12,13.94,13.94
2019-12-11,14.99,14.99
2019-12-10,15.68,15.68
2019-12-09,15.86,15.86
2019-12-06,13.62,13.62
2019-12-05,14.52,14.52
2019-12-04,14.8,14.8
2019-12-03,15.96,15.96
2019-12-02,14.91,14.91
2019-11-29,12.62,12.62
2019-11-28,11.75,11.75
2019-11-27,11.75,11.75
2019-11-26,11.54,11.54
2019-11-25,11.87,11.87
2019-11-22,12.34,12.34
2019-11-21,13.13,13.13
2019-11-20,12.78,12.78
2019-11-19,12.86,12.86
2019-11-18,12.46,12.46
2019-11-15,12.05,12.05
2019-11-14,13.05,13.05
2019-11-13,13.0,13.0
2019-11-12,12.68,12.68
2019-11-11,12.69,12.69
2019-11-08,12.07,12.07
2019-11-07,12.73,12.73
2019-11-06,12.62,12.62
2019-11-05,13.1,13.1
2019-11-04,12.83,12.83
2019-11-01,12.3,12.3
2019-10-31,13.22,13.22
2019-10-30,12.33,12.33
2019-10-29,13.2,13.2
2019-10-28,13.11,13.11
2019-10-25,12.65,12.65
2019-10-24,13.71,13.71
2019-10-23,14.01,14.01
2019-10-22,14.46,14.46
2019-10-21,14.0,14.0
2019-10-18,14.25,14.25
2019-10-17,13.79,13.79
2019-10-16,13.68,13.68
2019-10-15,13.54,13.54
2019-10-14,14.57,14.57
2019-10-11,15.58,15.58
2019-10-10,17.57,17.57
2019-10-09,18.64,18.64
2019-10-08,20.28,20.28
2019-10-07,17.86,17.86
2019-10-04,17.04,17.04
2019-10-03,19.12,19.12
2019-10-02,20.56,20.56
2019-10-01,18.56,18.56
2019-09-30,16.24,16.24
2019-09-27,17.22,17.22
2019-09-26,16.07,16.07
2019-09-25,15.96,15.96
2019-09-24,17.05,17.05
2019-09-23,14.91,14.91
2019-09-20,15.32,15.32
2019-09-19,14.05,14.05
2019-09-18,13.95,13.95
2019-09-17,14.44,14.44
2019-09-16,14.67,14.67
2019-09-13,13.74,13.74
2019-09-12,14.22,14.22
2019-09-11,14.61,14.61
2019-09-10,15.2,15.2
2019-09-09,15.27,15.27
2019-09-06,15.0,15.0
2019-09-05,16.27,16.27
2019-09-04,17.33,17.33
2019-09-03,19.66,19.66
2019-08-30,18.98,18.98
2019-08-29,17.88,17.88
2019-08-28,19.35,19.35
2019-08-27,20.31,20.31
2019-08-23,19.87,19.87
2019-08-22,16.68,16.68
2019-08-21,15.8,15.8
2019-08-20,17.5,17.5
2019-08-19,16.88,16.88
2019-08-16,18.47,18.47
2019-08-15,21.18,21.18
2019-08-14,22.1,22.1
2019-08-13,17.52,17.52
2019-08-12,21.09,21.09
2019-08-09,17.97,17.97
2019-08-08,16.91,16.91
2019-08-07,19.49,19.49
2019-08-06,20.17,20.17
2019-08-05,24.59,24.59
2019-08-02,17.61,17.61
2019-08-01,17.87,17.87
2019-07-31,16.12,16.12
2019-07-30,13.94,13.94
2019-07-29,12.83,12.83
2019-07-26,12.16,12.16
2019-07-25,12.74,12.74
2019-07-24,12.07,12.07
2019-07-23,12.61,12.61
2019-07-22,13.53,13.53
2019-07-19,14.45,14.45
2019-07-18,13.53,13.53
2019-07-17,13.97,13.97
2019-07-16,12.86,12.86
2019-07-15,12.68,12.68
2019-07-12,12.39,12.39
2019-07-11,12.93,12.93
2019-07-10,13.03,13.03
2019-07-09,14.09,14.09
2019-07-08,13.96,13.96
2019-07-05,13.28,13.28
2019-07-04,12.57,12.57
2019-07-03,12.57,12.57
2019-07-02,12.93,12.93
2019-07-01,14.06,14.06
2019-06-28,15.08,15.08
2019-06-27,15.82,15.82
2019-06-26,16.21,16.21
2019-06-25,16.28,16.28
2019-06-24,15.26,15.26
2019-06-21,15.4,15.4
2019-06-20,14.75,14.75
2019-06-19,14.33,14.33
2019-06-18,15.15,15.15
2019-06-17,15.35,15.35
2019-06-14,15.28,15.28
2019-06-13,15.82,15.82
2019-06-12,15.91,15.91
2019-06-11,15.99,15.99
2019-06-10,15.94,15.94
2019-06-07,16.3,16.3
2019-06-06,15.93,15.93
2019-06-05,16.09,16.09
2019-06-04,16.97,16.97
2019-06-03,18.86,18.86
2019-05-31,18.71,18.71
2019-05-30,17.3,17.3
2019-05-29,17.9,17.9
2019-05-28,17.5,17.5
2019-05-24,15.85,15.85
2019-05-23,16.92,16.92
2019-05-22,14.75,14.75
2019-05-21,14.95,14.95
2019-05-20,16.31,16.31
2019-05-17,15.96,15.96
2019-05-16,15.29,15.29
2019-05-15,16.44,16.44
2019-05-14,18.06,18.06
2019-05-13,20.55,20.55
2019-05-10,16.04,16.04
2019-05-09,19.1,19.1
2019-05-08,19.4,19.4
2019-05-07,19.32,19.32
2019-05-03,12.87,12.87
2019-05-02,14.42,14.42
2019-05-01,14.8,14.8
2019-04-30,13.12,13.12
2019-04-29,13.11,13.11
2019-04-26,12.73,12.73
2019-04-25,13.25,13.25
2019-04-24,13.14,13.14
2019-04-23,12.28,12.28
2019-04-18,12.09,12.09
2019-04-17,12.6,12.6
2019-04-16,12.18,12.18
2019-04-15,12.32,12.32
2019-04-12,12.01,12.01
2019-04-11,13.02,13.02
2019-04-10,13.3,13.3
2019-04-09,14.28,14.28
2019-04-08,13.18,13.18
2019-04-05,12.82,12.82
2019-04-04,13.58,13.58
2019-04-03,13.74,13.74
2019-04-02,13.36,13.36
2019-04-01,13.4,13.4
2019-03-29,13.71,13.71
2019-03-28,14.43,14.43
2019-03-27,15.15,15.15
2019-03-26,14.68,14.68
2019-03-25,16.33,16.33
2019-03-22,16.48,16.48
2019-03-21,13.63,13.63
2019-03-20,13.91,13.91
2019-03-19,13.56,13.56
2019-03-18,13.1,13.1
2019-03-15,12.88,12.88
2019-03-14,13.5,13.5
2019-03-13,13.41,13.41
2019-03-12,13.77,13.77
2019-03-11,14.33,14.33
2019-03-08,16.05,16.05
2019-03-07,16.59,16.59
2019-03-06,15.74,15.74
2019-03-05,14.74,14.74
2019-03-04,14.63,14.63
2019-03-01,13.57,13.57
2019-02-28,14.78,14.78
2019-02-27,14.7,14.7
2019-02-26,15.17,15.17
2019-02-25,14.85,14.85
2019-02-22,13.51,13.51
2019-02-21,14.46,14.46
2019-02-20,14.02,14.02
2019-02-19,14.88,14.88
2019-02-18,14.91,14.91
2019-02-15,14.91,14.91
2019-02-14,16.22,16.22
2019-02-13,15.65,15.65
2019-02-12,15.43,15.43
2019-02-11,15.97,15.97
2019-02-08,15.72,15.72
2019-02-07,16.37,16.37
2019-02-06,15.38,15.38
2019-02-05,15.57,15.57
2019-02-04,15.73,15.73
2019-02-01,16.14,16.14
2019-01-31,16.57,16.57
2019-01-30,17.66,17.66
2019-01-29,19.13,19.13
2019-01-28,18.87,18.87
2019-01-25,17.42,17.42
2019-01-24,18.89,18.89
2019-01-23,19.52,19.52
2019-01-22,20.8,20.8
2019-01-21,17.8,17.8
2019-01-18,17.8,17.8
2019-01-17,18.06,18.06
2019-01-16,19.04,19.04
2019-01-15,18.6,18.6
2019-01-14,19.07,19.07
2019-01-11,18.19,18.19
2019-01-10,19.5,19.5
2019-01-09,19.98,19.98
2019-01-08,20.47,20.47
2019-01-07,21.4,21.4
2019-01-04,21.38,21.38
2019-01-03,25.45,25.45
2019-01-02,23.22,23.22
